id,path,a,b,c,root_1,root_2,equation
eqn_0000,quadratic/eqn_0000,1,7,4,-0.6277,-6.3723,x² + 7x + 4 = 0
eqn_0001,quadratic/eqn_0001,15,-22,-76,3.1007,-1.634,15x² - 22x = 76
eqn_0002,quadratic/eqn_0002,12,33,22,-1.1356,-1.6144,33x + 22 = -12x²
eqn_0003,quadratic/eqn_0003,14,-10,-25,1.7404,-1.0261,14x² - 10x = 25
eqn_0004,quadratic/eqn_0004,4,10,-6,0.5,-3.0,4x² + 10x - 6 = 0
eqn_0005,quadratic/eqn_0005,2,10,-5,0.458,-5.458,2x² + 10x - 5 = 0
eqn_0006,quadratic/eqn_0006,4,-2,-8,1.6861,-1.1861,4x² - 2x - 8 = 0
eqn_0007,quadratic/eqn_0007,7,38,14,-0.3975,-5.031,38x + 14 = -7x²
eqn_0008,quadratic/eqn_0008,14,84,22,-0.2745,-5.7255,84x + 22 = -14x²
eqn_0009,quadratic/eqn_0009,1,4,-5,-1.0,5.0,(x + 1)(x - 5) = 0
eqn_0010,quadratic/eqn_0010,2,2,-6,1.3028,-2.3028,2x² + 2x - 6 = 0
eqn_0011,quadratic/eqn_0011,1,7,6,-1.0,-6.0,x² + 7x + 6 = 0
eqn_0012,quadratic/eqn_0012,3,84,75,-0.9233,-27.0767,84x + 75 = -3x²
eqn_0013,quadratic/eqn_0013,1,-19,48,-3.0,-16.0,(x + 3)(x + 16) = 0
eqn_0014,quadratic/eqn_0014,16,-15,-43,2.1738,-1.2363,16x² - 15x = 43
eqn_0015,quadratic/eqn_0015,1,10,9,-1.0,-9.0,x² + 10x + 9 = 0
eqn_0016,quadratic/eqn_0016,3,9,-7,0.6409,-3.6409,3x² + 9x - 7 = 0
eqn_0017,quadratic/eqn_0017,18,-25,-60,2.6478,-1.2589,18x² - 25x = 60
eqn_0018,quadratic/eqn_0018,14,14,-2,0.1268,-1.1268,14x² + 14x = 2
eqn_0019,quadratic/eqn_0019,19,-10,-79,2.3192,-1.7928,19x² - 10x = 79
eqn_0020,quadratic/eqn_0020,10,11,-38,1.4755,-2.5755,10x² + 11x = 38
eqn_0021,quadratic/eqn_0021,1,8,7,-1.0,-7.0,x² + 8x + 7 = 0
eqn_0022,quadratic/eqn_0022,14,92,32,-0.3685,-6.2029,92x + 32 = -14x²
eqn_0023,quadratic/eqn_0023,1,-44,448,-16.0,-28.0,(x + 16)(x + 28) = 0
eqn_0024,quadratic/eqn_0024,14,37,13,-0.4172,-2.2256,37x + 13 = -14x²
eqn_0025,quadratic/eqn_0025,4,-1,-1,0.6404,-0.3904,4x² - x - 1 = 0
eqn_0026,quadratic/eqn_0026,15,24,2,-0.0882,-1.5118,15x² + 24x = -2
eqn_0027,quadratic/eqn_0027,5,2,-6,0.9136,-1.3136,5x² + 2x - 6 = 0
eqn_0028,quadratic/eqn_0028,5,50,67,-1.5941,-8.4059,50x + 67 = -5x²
eqn_0029,quadratic/eqn_0029,4,9,1,-0.1172,-2.1328,4x² + 9x + 1 = 0
eqn_0030,quadratic/eqn_0030,1,4,-4,0.8284,-4.8284,x² + 4x - 4 = 0
eqn_0031,quadratic/eqn_0031,11,34,-4,0.1135,-3.2044,34x - 4 = -11x²
eqn_0032,quadratic/eqn_0032,19,-19,-20,1.6413,-0.6413,19x² - 19x = 20
eqn_0033,quadratic/eqn_0033,5,65,1,-0.0154,-12.9846,65x + 1 = -5x²
eqn_0034,quadratic/eqn_0034,1,16,-225,-9.0,25.0,(x + 9)(x - 25) = 0
eqn_0035,quadratic/eqn_0035,2,6,-1,0.1583,-3.1583,2x² + 6x - 1 = 0
eqn_0036,quadratic/eqn_0036,1,-40,351,-13.0,-27.0,(x + 13)(x + 27) = 0
eqn_0037,quadratic/eqn_0037,1,42,425,17.0,25.0,(x - 17)(x - 25) = 0
eqn_0038,quadratic/eqn_0038,2,-1,-1,1.0,-0.5,2x² - x - 1 = 0
eqn_0039,quadratic/eqn_0039,15,11,-59,1.6502,-2.3835,15x² + 11x = 59
eqn_0040,quadratic/eqn_0040,11,53,60,-1.8182,-3.0,53x + 60 = -11x²
eqn_0041,quadratic/eqn_0041,12,22,-30,0.911,-2.7443,12x² + 22x = 30
eqn_0042,quadratic/eqn_0042,1,-41,288,-9.0,-32.0,(x + 9)(x + 32) = 0
eqn_0043,quadratic/eqn_0043,13,-5,-54,2.2395,-1.8548,13x² - 5x = 54
eqn_0044,quadratic/eqn_0044,19,23,-39,0.95,-2.1606,19x² + 23x = 39
eqn_0045,quadratic/eqn_0045,4,79,61,-0.805,-18.945,79x + 61 = -4x²
eqn_0046,quadratic/eqn_0046,12,96,34,-0.3714,-7.6286,96x + 34 = -12x²
eqn_0047,quadratic/eqn_0047,1,-2,-63,-9.0,7.0,(x + 9)(x - 7) = 0
eqn_0048,quadratic/eqn_0048,5,5,-2,0.3062,-1.3062,5x² + 5x - 2 = 0
eqn_0049,quadratic/eqn_0049,10,-13,-13,1.9624,-0.6624,10x² - 13x = 13
eqn_0050,quadratic/eqn_0050,20,19,3,-0.2,-0.75,20x² + 19x = -3
eqn_0051,quadratic/eqn_0051,2,-3,-10,3.1085,-1.6085,2x² - 3x - 10 = 0
eqn_0052,quadratic/eqn_0052,14,16,-81,1.9009,-3.0437,14x² + 16x = 81
eqn_0053,quadratic/eqn_0053,15,96,46,-0.5217,-5.8783,96x + 46 = -15x²
